patient	ref	tgt	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle
P1	3	1	0.4081766903400421	0.5563861131668091	0.3968084752559662	1.3892295269785666	0.8038624727988888	0.7336212760897348	0.7131890352141118
P1	3	2	0.19186417758464813	0.2769666910171509	0.18880288302898407	1.223292038442204	0.8262524656721719	0.6927337611610745	0.681680827162327
P1	3	4	0.14819198846817017	0.19494503736495972	0.14993220567703247	1.172701355796485	0.7825037352165594	0.7601731773799277	0.7690998842732375
P1	3	5	0.2842792868614197	0.3961801826953888	0.2831275463104248	1.318347816043679	0.8111793272340254	0.7175504966637708	0.7146433836851279
P1	3	6	0.39232969284057617	0.5347200632095337	0.39209479093551636	1.324297510357353	0.7846796356239538	0.7337104399743444	0.7332711411314136
P1	3	7	0.3715737462043762	0.4638760983943939	0.36724913120269775	0.8827453942222491	0.6199329610375978	0.8010193831725709	0.7916966027649422
P1	3	8	0.47031164169311523	0.5075492858886719	0.4732828140258789	0.6300016633377904	0.2669695770772103	0.9266324567271197	0.9324864149837281
P1	3	9	0.512884259223938	0.5905018448829651	0.4937332570552826	2.1232450290895954	0.5812463471516196	0.8685565738166143	0.836124834043725
P1	3	10	0.5121655464172363	0.6435048580169678	0.49519380927085876	1.787532008581428	0.74787388201241	0.7959000464977557	0.7695261397044522
P1	4	1	0.5496833324432373	0.768595814704895	0.5328164100646973	1.3687019261458464	0.8206120225227128	0.71517866988944	0.6932335564034706
P1	4	2	0.36714115738868713	0.5311154127120972	0.35139593482017517	1.3280078395414796	0.8388967389263315	0.6912643628884935	0.661618786443799
P1	4	3	0.15799376368522644	0.21323055028915405	0.1575319468975067	1.3357490439149196	0.7996879254185951	0.7409527549920822	0.7387869453222509
P1	4	5	0.12229792773723602	0.1562378704547882	0.12364093959331512	1.1411063349214963	0.7431838859468926	0.7827675030467491	0.7913634462208962
P1	4	6	0.24037966132164001	0.304650217294693	0.24306537210941315	1.2313661718499231	0.718843411137285	0.7890349248926252	0.797850644151329
P1	4	7	0.3312302827835083	0.3668863773345947	0.3300968408584595	0.679486573850185	0.3532486994213437	0.9028143404774918	0.8997249864020332
P1	4	8	0.5229573249816895	0.5756041407585144	0.5176231861114502	1.5654831907331699	0.40910223000280677	0.9085364193046831	0.899269392727685
P1	4	9	0.6145429611206055	0.7383968234062195	0.5929577946662903	2.0205664658763656	0.7001084102331533	0.8322665288370594	0.8030340541431097
P1	4	10	0.6383230686187744	0.8379920721054077	0.6149144172668457	1.650376180735155	0.7854836633917153	0.76172924526007	0.7337950294946204
P1	5	1	0.6613359451293945	0.9317993521690369	0.6350104212760925	1.3851219188723958	0.8237175266015502	0.7097407221736534	0.6814883695700358
P1	5	2	0.4958092272281647	0.7177234888076782	0.4728458821773529	1.3559709909086746	0.8370208382369079	0.6908081384543096	0.658813442155656
P1	5	3	0.29548054933547974	0.4134257435798645	0.2850039005279541	1.4442052962761254	0.8220266382285366	0.7147125062336608	0.6893714408302147
P1	5	4	0.1253112405538559	0.16104143857955933	0.12750138342380524	1.2797736099145511	0.762300563108941	0.7781304095339932	0.791730281028356
P1	5	6	0.12180298566818237	0.12823110818862915	0.11971443891525269	0.8740128532427269	0.4619540588224572	0.9498708027151185	0.9335834385767893
P1	5	7	0.3071248531341553	0.33317291736602783	0.30723270773887634	0.9497145921757456	0.28404861453772856	0.9218181824687274	0.9221419020722706
P1	5	8	0.5528771877288818	0.6365214586257935	0.5382635593414307	2.211227890671918	0.6059395629889146	0.8685915930038024	0.8456330136983993
P1	5	9	0.698806643486023	0.8673068284988403	0.6755588054656982	1.8712073735580157	0.7301128432291988	0.8057202140279901	0.7789155847359981
P1	5	10	0.7516571879386902	1.0041530132293701	0.7196425199508667	1.596945815014448	0.7865921245940223	0.7485484562968647	0.7166661957588379
